,,hwa_matmul_nb,hwa_matmul_nb_spm,hwa_matmul_nb_uncached,tacle_matrix1_spm,tacle_matrix1_uncached
FLOAT,,,,,,
,,,,,,
NBANKS=3,4x4,1039,1329,44969,13054,18822
,16x16,11658,9362,52516,440408,1072883
,32x32,76574,60000,125558,3493051,8622198
NBANKS=5,4x4,1010,1285,43482,13050,18813
,16x16,10758,8166,49828,440409,1072964
,32x32,56958,40099,102536,3493046,8622198
NBANKS=9,4x4,1029,1306,43380,13059,18813
,16x16,10058,7468,48626,440410,1072981
,32x32,50883,34004,95172,3493041,8622171
,,,,,,
INT,,,,,,
,,,,,,
NBANKS=3,4x4,999,950,43024,1970,7452
,16x16,12131,8508,51642,71465,421023
,32x32,76571,56718,121783,545814,3326906
NBANKS=5,4x4,1017,1015,42294,1970,7423
,16x16,10687,7311,48862,71463,420912
,32x32,56727,36858,98723,545817,3326906
NBANKS=9,4x4,1200,1229,42204,1970,7453
,16x16,10169,6588,47808,71462,421023
,32x32,50712,30754,91561,545814,3326617
