,,,hwa_minver,hwa_minver_spm,hwa_minver_uncached,tacle_minver,tacle_minver_spm,tacle_minver_uncached
Type=float,NBANKS=1,4x4,2459.0,1831.0,2503.0,292975.0,280084.0,293257.0
,,16x16,29915.0,19207.0,29959.0,15279295.0,14607172.0,15284569.0
,,32x32,117147.0,74204.0,117212.0,118810815.0,113617924.0,118832153.0
,NBANKS=2,4x4,2687.0,2059.0,2731.0,292975.0,280084.0,293257.0
,,16x16,30863.0,20155.0,30907.0,15279295.0,14607172.0,15284569.0
,,32x32,119505.0,76563.0,119571.0,118810815.0,113617924.0,118832153.0
,NBANKS=4,4x4,2914.0,2307.0,2979.0,292975.0,280084.0,293257.0
,,16x16,32071.0,21363.0,32115.0,15279295.0,14607172.0,15284569.0
,,32x32,121801.0,78859.0,121867.0,118810815.0,113617924.0,118832153.0
